author,title,pages,year,crossref,booktitle,ee,url,genre
"['Mahmoud Hammad', 'Joshua Garcia', 'Sam Malek']",A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products.,['421-431'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3180228', 'http://ieeexplore.ieee.org/document/8453102']",['db/conf/icse/icse2018.html#HammadGM18'],inproceedings
['Tingting Yu'],An observable and controllable testing framework for modern systems.,['1377-1380'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606721', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606721', 'http://dl.acm.org/citation.cfm?id=2487010']",['db/conf/icse/icse2013.html#Yu04'],inproceedings
['Dines Bjørner'],Trusted Computing Systems: The ProCoS Experience.,['15-34'],1992,['conf/icse/1992'],ICSE,['https://doi.org/10.1145/143062.143080'],['db/conf/icse/icse92.html#Bjorner92'],inproceedings
"['Kent L. Beck', 'James Coplien', 'Ron Crocker', 'Lutz Dominick', 'Gerard Meszaros', 'Frances Paulisch', 'John M. Vlissides']",Industrial Experience with Design Patterns.,['103-114'],1996,['conf/icse/1996'],ICSE,['http://portal.acm.org/citation.cfm?id=227726.227747'],['db/conf/icse/icse96.html#BeckCCDMPV96'],inproceedings
"['Stephen G. Eick', 'Clive R. Loader', 'M. David Long', 'Lawrence G. Votta', 'Scott A. Vander Wiel']",Estimating Software Fault Content Cefore Coding.,['59-65'],1992,['conf/icse/1992'],ICSE,['https://doi.org/10.1145/143062.143090'],['db/conf/icse/icse92.html#EickLLVW92'],inproceedings
"['Emily Hill 0001', 'Lori L. Pollock', 'K. Vijay-Shanker']",Automatically capturing source code context of NL-queries for software maintenance and reuse.,['232-242'],2009,['conf/icse/2009'],ICSE,"['https://doi.org/10.1109/ICSE.2009.5070524', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2009.5070524', 'http://dl.acm.org/citation.cfm?id=1555039']",['db/conf/icse/icse2009.html#HillPV09'],inproceedings
"['J. W. Bailey', 'Victor R. Basili']",A Meta-Model for Software Development Resource Expenditures.,['107-116'],1981,['conf/icse/1981'],ICSE,['http://dl.acm.org/citation.cfm?id=802522'],['db/conf/icse/icse81.html#BaileyB81'],inproceedings
"['Jamieson M. Cobleigh', 'Lori A. Clarke', 'Leon J. Osterweil']",The Right Algorithm at the Right Time: Comparing Data Flow Analysis Algorithms for Finite State Verification.,['37-46'],2001,['conf/icse/2001'],ICSE,"['https://doi.org/10.1109/ICSE.2001.919079', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2001.919079']",['db/conf/icse/icse2001.html#CobleighCO01'],inproceedings
"['Tankut Akgul', 'Vincent John Mooney III', 'Santosh Pande']",A Fast Assembly Level Reverse Execution Method via Dynamic Slicing.,['522-531'],2004,['conf/icse/2004'],ICSE,"['https://doi.org/10.1109/ICSE.2004.1317474', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2004.1317474', 'http://dl.acm.org/citation.cfm?id=999456']",['db/conf/icse/icse2004.html#AkgulMP04'],inproceedings
"['Constance L. Heitmeyer', 'James Kirby', 'Bruce G. Labaw']","The SCR Method for Formally Specifying, Verifying, and Validating Requirements: Tool Support.",['610-611'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253498'],['db/conf/icse/icse97.html#HeitmeyerKL97'],inproceedings
"['Jeffrey Melanson', 'Robert L. Nord', 'Dilip Soni']",Tailoring OMT for an Industry Software Project.,['556-557'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253444'],['db/conf/icse/icse97.html#MelansonNS97'],inproceedings
"['Yongjie Zheng', 'Richard N. Taylor']",xMapper: An architecture-implementation mapping tool.,['1461-1462'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227064', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227064', 'http://dl.acm.org/citation.cfm?id=2337453']",['db/conf/icse/icse2012.html#ZhengT12a'],inproceedings
['David S. Wile'],Abstract Syntax from Concrete Syntax.,['472-480'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253388'],['db/conf/icse/icse97.html#Wile97'],inproceedings
"['Nachum Dershowitz', 'Zohar Manna']",Inference Rules for Program Annotation.,['158-167'],1978,['conf/icse/1978'],ICSE,['http://dl.acm.org/citation.cfm?id=803206'],['db/conf/icse/icse78.html#DershowitzM78'],inproceedings
"['Holger Scherl', 'Stefan Hoppe', 'Markus Kowarschik', 'Joachim Hornegger']",Design and implementation of the software architecture for a 3-D reconstruction system in medical imaging.,['661-668'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368181'],['db/conf/icse/icse2008.html#ScherlHKH08'],inproceedings
"['Zhimin Wang', 'Sebastian G. Elbaum', 'David S. Rosenblum']",Automated Generation of Context-Aware Tests.,['406-415'],2007,['conf/icse/2007'],ICSE,"['https://doi.org/10.1109/ICSE.2007.18', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2007.18', 'http://dl.acm.org/citation.cfm?id=1248873']",['db/conf/icse/icse2007.html#WangER07'],inproceedings
"['Richard Cardone', 'Calvin Lin']",Comparing Frameworks and Layered Refinement.,['285-294'],2001,['conf/icse/2001'],ICSE,"['https://doi.org/10.1109/ICSE.2001.919102', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2001.919102']",['db/conf/icse/icse2001.html#CardoneL01'],inproceedings
['Wladyslaw M. Turski'],Software Engineering : As It Will Be.,['449-456'],1979,['conf/icse/1979'],ICSE,,['db/conf/icse/icse79.html#Turski79'],inproceedings
"['Marco Pistoia', 'Stephen J. Fink', 'Robert J. Flynn', 'Eran Yahav']",When Role Models Have Flaws: Static Validation of Enterprise Security Policies.,['478-488'],2007,['conf/icse/2007'],ICSE,"['https://doi.org/10.1109/ICSE.2007.98', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2007.98', 'http://dl.acm.org/citation.cfm?id=1248880']",['db/conf/icse/icse2007.html#PistoiaFFY07'],inproceedings
"['Bin Liang 0002', 'Pan Bian', 'Yan Zhang', 'Wenchang Shi', 'Wei You', 'Yan Cai 0001']",AntMiner: mining more bugs by reducing noise interference.,['333-344'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884870', 'http://ieeexplore.ieee.org/document/7886915/']",['db/conf/icse/icse2016.html#LiangBZSYC16'],inproceedings
"['Donglin Liang', 'Mary Jean Harrold']",Light-weight context recovery for efficient and accurate program analyses.,['366-375'],2000,['conf/icse/2000'],ICSE,['https://doi.org/10.1145/337180.337222'],['db/conf/icse/icse2000.html#LiangH00'],inproceedings
"['P. J. Rundle', 'R. G. Dewar']",Using return on investment to compare agile and plan-driven practices in undergraduate group projects.,['649-654'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134383'],['db/conf/icse/icse2006.html#RundleD06'],inproceedings
['Leon J. Osterweil'],Toolpack - An Experimental Software Development Environment Research Project.,['166-177'],1982,['conf/icse/1982'],ICSE,['http://dl.acm.org/citation.cfm?id=807759'],['db/conf/icse/icse82.html#Osterweil82'],inproceedings
"['Bev Littlewood', 'Lorenzo Strigini']",Software reliability (tutorial session): basic concepts and assessment methods.,['831'],2000,['conf/icse/2000'],ICSE,['https://doi.org/10.1145/337180.337858'],['db/conf/icse/icse2000.html#LittlewoodS00'],inproceedings
"['Rik Eshuis', 'Roel J. Wieringa']",Verification support for workflow design with UML activity graphs.,['166-176'],2002,['conf/icse/2002'],ICSE,['https://doi.org/10.1145/581339.581362'],['db/conf/icse/icse2002.html#EshuisW02'],inproceedings
"['Shirley Browne', 'James W. Moore']",Reuse Library Interoperability and the World Wide Web.,['684-691'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253836'],['db/conf/icse/icse97.html#BrowneM97'],inproceedings
"['Mozhan Soltani', 'Annibale Panichella', 'Arie van Deursen']",A guided genetic algorithm for automated crash reproduction.,['209-220'],2017,['conf/icse/2017'],ICSE,"['https://doi.org/10.1109/ICSE.2017.27', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2017.27', 'http://dl.acm.org/citation.cfm?id=3097394', 'https://www.wikidata.org/entity/Q57311875']",['db/conf/icse/icse2017.html#SoltaniPD17'],inproceedings
"['Yoann Padioleau', 'Benjamin Sigonneau', 'Olivier Ridoux']",LISFS: a logical information system as a file system.,['803-806'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134418'],['db/conf/icse/icse2006.html#PadioleauSR06'],inproceedings
"['Raymond Jacoby', 'Yoshihiro Tohma']",Parameter Value Computation by Least Square Method and Evaluation of Software Availability and Reliability at Service-Operation by the Hyper-Geometric Distribution Software Reliability Growth Model (HGDM).,['226-237'],1991,['conf/icse/1991'],ICSE,['http://portal.acm.org/citation.cfm?id=256664.256769'],['db/conf/icse/icse91.html#JacobyT91'],inproceedings
"['Sichen Meng', 'Xiaoyin Wang', 'Lu Zhang 0023', 'Hong Mei']",A history-based matching approach to identification of framework evolution.,['353-363'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227179', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227179', 'http://dl.acm.org/citation.cfm?id=2337265']",['db/conf/icse/icse2012.html#MengWZM12'],inproceedings
['Mireille Ducassé'],Coca: An automated Debugger for C.,['504-513'],1999,['conf/icse/1999'],ICSE,['https://doi.org/10.1145/302405.302682'],['db/conf/icse/icse99.html#Ducasse99'],inproceedings
['Y. Matsumoto'],Ten Years Experiences of a Software/Hardware Producing Environment.,['291'],1987,['conf/icse/1987'],ICSE,['http://dl.acm.org/citation.cfm?id=41796'],['db/conf/icse/icse87.html#Matsumoto87'],inproceedings
['Hassan Gomaa'],Structuring Criteria for Real Time System Design.,['290-301'],1989,['conf/icse/1989'],ICSE,['https://doi.org/10.1145/74587.74627'],['db/conf/icse/icse89.html#Gomaa01'],inproceedings
"['Neil A. M. Maiden', 'Suzanne Robertson', 'James Robertson']",Creative requirements: invention and its role in requirements engineering.,['1073-1074'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134512'],['db/conf/icse/icse2006.html#MaidenRR06'],inproceedings
"['Susan Elliott Sim', 'Steve M. Easterbrook', 'Richard C. Holt']",Using Benchmarking to Advance Research: A Challenge to Software Engineering.,['74-83'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201189', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201189', 'http://dl.acm.org/citation.cfm?id=776826']",['db/conf/icse/icse2003.html#SimEH03'],inproceedings
"['Martin P. Robillard', 'Peri L. Tarr']",First international workshop on the modeling and analysis of concerns in software (MACS 2005).,['685'],2005,['conf/icse/2005'],ICSE,"['https://doi.org/10.1145/1062455.1062611', 'https://doi.org/10.1109/ICSE.2005.1553656', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2005.1553656']",['db/conf/icse/icse2005.html#RobillardT05'],inproceedings
"['Gursimran Singh Walia', 'Jeffrey C. Carver', 'Nachiappan Nagappan']",The effect of the number of inspectors on the defect estimates produced by capture-recapture models.,['331-340'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368134'],['db/conf/icse/icse2008.html#WaliaCN08'],inproceedings
"['Miryung Kim', 'Thomas Zimmermann 0001', 'Robert DeLine', 'Andrew Begel']",Data scientists in software teams: state of the art and challenges.,['585'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3182515', 'http://ieeexplore.ieee.org/document/8453127']",['db/conf/icse/icse2018.html#Kim0DB18'],inproceedings
"['Michaela Greiler', 'Arie van Deursen', 'Margaret-Anne D. Storey']",Test confessions: A study of testing practices for plug-in systems.,['244-254'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227189', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227189', 'http://dl.acm.org/citation.cfm?id=2337253', 'https://www.wikidata.org/entity/Q57908728']",['db/conf/icse/icse2012.html#GreilerDS12'],inproceedings
"['Ingolf H. Krüger', 'Reena Mathew', 'Michael Meisinger']",Efficient exploration of service-oriented architectures using aspects.,['62-71'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134296'],['db/conf/icse/icse2006.html#KrugerMM06'],inproceedings
"['Tom DeMarco', 'Tim Lister']",Software Development: State of the Art vs. State of the Practice.,['271-275'],1989,['conf/icse/1989'],ICSE,['https://doi.org/10.1145/74587.74625'],['db/conf/icse/icse89.html#DeMarcoL01'],inproceedings
"['Minseong Kim', 'Suntae Kim', 'Sooyong Park', 'Mun-Taek Choi', 'Munsang Kim', 'Hassan Gomaa']",UML-based service robot software development: a case study.,['534-543'],2006,['conf/icse/2006'],ICSE,['https://doi.org/10.1145/1134285.1134360'],['db/conf/icse/icse2006.html#KimKPCKG06'],inproceedings
"['Heinz Oswald', 'Rob Esser', 'R. Mattmann']",An Environment for Specifying and Executing Hierarchical Petri Nets.,['164-172'],1990,['conf/icse/1990'],ICSE,['http://dl.acm.org/citation.cfm?id=100319'],['db/conf/icse/icse90.html#OswaldEM90'],inproceedings
"['Carl Gould 0001', 'Zhendong Su', 'Premkumar T. Devanbu']",JDBC Checker: A Static Analysis Tool for SQL/JDBC Applications.,['697-698'],2004,['conf/icse/2004'],ICSE,"['https://doi.org/10.1109/ICSE.2004.1317494', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2004.1317494', 'http://dl.acm.org/citation.cfm?id=999476']",['db/conf/icse/icse2004.html#GouldSD04a'],inproceedings
"['Eric Bouwers', 'Arie van Deursen', 'Joost Visser 0001']",Evaluating usefulness of software metrics: an industrial experience report.,['921-930'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606641', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606641', 'http://dl.acm.org/citation.cfm?id=2486914', 'https://www.wikidata.org/entity/Q57908699']",['db/conf/icse/icse2013.html#BouwersDV13'],inproceedings
"['Gias Uddin 0001', 'Barthélémy Dagenais', 'Martin P. Robillard']",Temporal analysis of API usage concepts.,['804-814'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227138', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227138', 'http://dl.acm.org/citation.cfm?id=2337318']",['db/conf/icse/icse2012.html#UddinDR12'],inproceedings
"['Sami Lazreg', 'Maxime Cordy', 'Philippe Collet', 'Patrick Heymans', 'Sébastien Mosser 0001']",Multifaceted automated analyses for variability-intensive embedded systems.,['854-865'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00092', 'https://dl.acm.org/citation.cfm?id=3339612']",['db/conf/icse/icse2019.html#LazregCCH019'],inproceedings
"['Denys Poshyvanyk', 'Massimiliano Di Penta', 'Huzefa H. Kagdi']",Sixth international workshop on traceability in emerging forms of software engineering: (TEFSE 2011).,['1214-1215'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1986052'],['db/conf/icse/icse2011.html#PoshyvanykPK11'],inproceedings
"['William G. Griswold', 'Bashar Nuseibeh']",Introduction to Research Papers.,['48'],2005,['conf/icse/2005'],ICSE,['https://doi.org/10.1145/1062455.1062480'],['db/conf/icse/icse2005.html#GriswoldN05'],inproceedings
['Walter Royce'],Pragmatic Software Metrics for Iterative Development (Presentation).,['585'],1997,['conf/icse/1997'],ICSE,['https://doi.org/10.1145/253228.253485'],['db/conf/icse/icse97.html#Royce97'],inproceedings
['Eberhard Wolff'],Software architecture - What does it mean in industry? (Invited industrial talk).,['999'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227250', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227250', 'http://dl.acm.org/citation.cfm?id=2337348']",['db/conf/icse/icse2012.html#Wolff12'],inproceedings
"['Jonathan Eyolfson', 'Patrick Lam 0001']",How C++ developers use immutability declarations: an empirical study.,['362-372'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00050', 'https://dl.acm.org/citation.cfm?id=3339553']",['db/conf/icse/icse2019.html#Eyolfson019'],inproceedings
"['Ali Mesbah 0001', 'Arie van Deursen']",Invariant-based automatic testing of AJAX user interfaces.,['210-220'],2009,['conf/icse/2009'],ICSE,"['https://doi.org/10.1109/ICSE.2009.5070522', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2009.5070522', 'http://dl.acm.org/citation.cfm?id=1555037', 'https://www.wikidata.org/entity/Q57908793']",['db/conf/icse/icse2009.html#MesbahD09'],inproceedings
['R. R. Willis'],DAS: An Automated System to Support Design Analysis.,['109-115'],1978,['conf/icse/1978'],ICSE,['http://dl.acm.org/citation.cfm?id=803199'],['db/conf/icse/icse78.html#Willis78'],inproceedings
"['Akbar Siami Namin', 'James H. Andrews', 'Duncan J. Murdoch']",Sufficient mutation operators for measuring test effectiveness.,['351-360'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368136'],['db/conf/icse/icse2008.html#NaminAM08'],inproceedings
"['Lawrence Chung', 'Brian A. Nixon']",Dealing with Non-Functional Requirements: Three Experimental Studies of a Process-Oriented Approach.,['25-37'],1995,['conf/icse/1995'],ICSE,['https://doi.org/10.1145/225014.225017'],['db/conf/icse/icse95.html#ChungN95'],inproceedings
"['David Lorge Parnas', 'David M. Weiss 0001']",Active Design Reviews: Principles and Practices.,['132-136'],1985,['conf/icse/1985'],ICSE,['http://dl.acm.org/citation.cfm?id=319599'],['db/conf/icse/icse85.html#ParnasW85'],inproceedings
"['Brian Ellis', 'Jeffrey Stylos', 'Brad A. Myers']",The Factory Pattern in API Design: A Usability Evaluation.,['302-312'],2007,['conf/icse/2007'],ICSE,"['https://doi.org/10.1109/ICSE.2007.85', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2007.85', 'http://dl.acm.org/citation.cfm?id=1248863']",['db/conf/icse/icse2007.html#EllisSM07'],inproceedings
"['Melanie Ruhe', 'D. Ross Jeffery', 'Isabella Wieczorek']",Cost Estimation for Web Applications.,['285-294'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201208', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201208', 'http://dl.acm.org/citation.cfm?id=776851']",['db/conf/icse/icse2003.html#RuheJW03'],inproceedings
['Wei Le'],Segmented symbolic analysis.,['212-221'],2013,['conf/icse/2013'],ICSE,"['https://doi.org/10.1109/ICSE.2013.6606567', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2013.6606567', 'http://dl.acm.org/citation.cfm?id=2486817']",['db/conf/icse/icse2013.html#Le13'],inproceedings
"['Tian Huat Tan', 'Manman Chen', 'Jun Sun 0001', 'Yang Liu 0003', 'Étienne André', 'Yinxing Xue', 'Jin Song Dong']",Optimizing selection of competing services with probabilistic hierarchical refinement.,['85-95'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884861', 'http://ieeexplore.ieee.org/document/7886894/']",['db/conf/icse/icse2016.html#TanCSLAXD16'],inproceedings
['S. Ito'],Automatic Input of Flow Chart in Document Image.,['319-329'],1982,['conf/icse/1982'],ICSE,['http://dl.acm.org/citation.cfm?id=807774'],['db/conf/icse/icse82.html#Ito82'],inproceedings
"['Lars Bratthall', 'Robert van der Geest', 'Holger Hofmann', 'Edgar Jellum', 'Zbigniew Korendo', 'Robert Martinez', 'Michal Orkisz', 'Christian Zeidler', 'Johan S. Andersson']",Integrating hundred's of product through one architecture: the industrial IT architecture.,['604-614'],2002,['conf/icse/2002'],ICSE,['https://doi.org/10.1145/581339.581416'],['db/conf/icse/icse2002.html#BratthallGHJKMOZA02'],inproceedings
"['William G. Griswold', 'Robert T. Boyer', 'Steven W. Brown', 'Tan Minh Truong']","A Component Architecture for an Extensible, Highly Integrated Context-Aware Computing Infrastructure.",['363-373'],2003,['conf/icse/2003'],ICSE,"['https://doi.org/10.1109/ICSE.2003.1201215', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2003.1201215', 'http://dl.acm.org/citation.cfm?id=776860']",['db/conf/icse/icse2003.html#GriswoldBBT03'],inproceedings
"['T. Sunazuka', 'Motoei Azuma', 'Noriko Yamagishi']",Software Quality Assessment Technology.,['142-149'],1985,['conf/icse/1985'],ICSE,['http://dl.acm.org/citation.cfm?id=319605'],['db/conf/icse/icse85.html#SunazukaAY85'],inproceedings
"['Judith Bishop', 'David Notkin', 'Karin K. Breitman']",First workshop on developing tools as plug-ins: (TOPI 2011).,['1230-1231'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1986060'],['db/conf/icse/icse2011.html#BishopNB11'],inproceedings
"['Jongwook Kim', 'Don S. Batory', 'Danny Dig', 'Maider Azanza']",Improving refactoring speed by 10X.,['1145-1156'],2016,['conf/icse/2016'],ICSE,"['https://doi.org/10.1145/2884781.2884802', 'http://ieeexplore.ieee.org/document/7886987/']",['db/conf/icse/icse2016.html#KimBDA16'],inproceedings
"['Nikolaos Tsantalis', 'Matin Mansouri', 'Laleh Mousavi Eshkevari', 'Davood Mazinanian', 'Danny Dig']",Accurate and efficient refactoring detection in commit history.,['483-494'],2018,['conf/icse/2018'],ICSE,"['https://doi.org/10.1145/3180155.3180206', 'http://ieeexplore.ieee.org/document/8453111']",['db/conf/icse/icse2018.html#TsantalisMEMD18'],inproceedings
"['Alessandro Orso', 'Adam A. Porter']",Second ICSE Workshop on Remote Analysis and Measurement of Software Systems (RAMSS).,['775-776'],2004,['conf/icse/2004'],ICSE,"['http://doi.ieeecomputersociety.org/10.1109/ICSE.2004.10002', 'http://dl.acm.org/citation.cfm?id=999514']",['db/conf/icse/icse2004.html#OrsoP04'],inproceedings
"['Rachel Tzoref-Brill', 'Shahar Maoz']",Syntactic and semantic differencing for combinatorial models of test designs.,['621-631'],2017,['conf/icse/2017'],ICSE,"['https://doi.org/10.1109/ICSE.2017.63', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2017.63', 'http://dl.acm.org/citation.cfm?id=3097443']",['db/conf/icse/icse2017.html#Tzoref-BrillM17'],inproceedings
"['Jack C. Wileden', 'Alexander L. Wolf', 'William R. Rosenblatt', 'Peri L. Tarr']",Specification Level Interoperability.,['74-85'],1990,['conf/icse/1990'],ICSE,['http://dl.acm.org/citation.cfm?id=100304'],['db/conf/icse/icse90.html#WiledenWRT90'],inproceedings
"['A. G. Duncan', 'J. S. Hutchison', 'John W. Bailey', 'T. M. Chapman', 'A. Fregly', 'Elizabeth Kruesi', 'T. McDonald', 'D. Merrill', 'Sylvia B. Sheppard']",Communication System Design Using Ada.,['398-407'],1984,['conf/icse/1984'],ICSE,['http://dl.acm.org/citation.cfm?id=801998'],['db/conf/icse/icse84.html#DuncanHBCFKMMS84'],inproceedings
['K. Narayanaswamy'],Static Analysis-Based Program Evolution Support in the Common Lisp Framework.,['222-230'],1988,['conf/icse/1988'],ICSE,['http://dl.acm.org/citation.cfm?id=55845'],['db/conf/icse/icse88.html#Narayanaswamy88'],inproceedings
"['Tihomir Gvero', 'Milos Gligoric', 'Steven Lauterburg', ""Marcelo d'Amorim"", 'Darko Marinov', 'Sarfraz Khurshid']",State extensions for java pathfinder.,['863-866'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368224'],['db/conf/icse/icse2008.html#GveroGL08'],inproceedings
"['Kevin J. Hoffman', 'Patrick Eugster']",Towards reusable components with aspects: an empirical study on modularity and obliviousness.,['91-100'],2008,['conf/icse/2008'],ICSE,['https://doi.org/10.1145/1368088.1368102'],['db/conf/icse/icse2008.html#HoffmanE08'],inproceedings
"['Antonia Bertolino', 'Antonio Guerriero', 'Breno Miranda', 'Roberto Pietrantuono', 'Stefano Russo']",Learning-to-rank vs ranking-to-learn: strategies for regression testing in continuous integration.,['1-12'],2020,['conf/icse/2020'],ICSE,"['https://doi.org/10.1145/3377811.3380369', 'https://ieeexplore.ieee.org/document/9283979']",['db/conf/icse/icse2020.html#BertolinoGMPR20'],inproceedings
"['Mauricio Amaral de Almeida', 'Hakim Lounis', 'Walcélio L. Melo']",An Investigation on the Use of Machine Learned Models for Estimating Correction Costs.,['473-476'],1998,['conf/icse/1998'],ICSE,"['https://doi.org/10.1109/ICSE.1998.671609', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.1998.671609']",['db/conf/icse/icse98.html#AlmeidaLM98'],inproceedings
['Roshanak Roshandel'],Calculating Architectural Reliability via Modeling and Analysis.,['69-71'],2004,['conf/icse/2004'],ICSE,"['https://doi.org/10.1109/ICSE.2004.1317426', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2004.1317426', 'http://dl.acm.org/citation.cfm?id=999410']",['db/conf/icse/icse2004.html#Roshandel04'],inproceedings
"['Tianyi Zhang 0001', 'Di Yang', 'Crista Lopes', 'Miryung Kim']",Analyzing and supporting adaptation of online code examples.,['316-327'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00046', 'https://dl.acm.org/citation.cfm?id=3339547']",['db/conf/icse/icse2019.html#0001YLK19'],inproceedings
['Soudip Roy Chowdhury'],Assisting end-user development in browser-based mashup tools.,['1625-1627'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227222', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227222', 'http://dl.acm.org/citation.cfm?id=2337503']",['db/conf/icse/icse2012.html#Chowdhury12'],inproceedings
"['Xusheng Xiao', 'Tao Xie 0001', 'Nikolai Tillmann', 'Jonathan de Halleux']",Covana: precise identification of problems in pex.,['1004-1006'],2011,['conf/icse/2011'],ICSE,['https://doi.org/10.1145/1985793.1985976'],['db/conf/icse/icse2011.html#XiaoXTH11a'],inproceedings
"['Songzheng Song', 'Jianye Hao', 'Yang Liu 0003', 'Jun Sun 0001', 'Ho-fung Leung', 'Jin Song Dong']",Analyzing multi-agent systems with probabilistic model checking approach.,['1337-1340'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227085', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227085', 'http://dl.acm.org/citation.cfm?id=2337412']",['db/conf/icse/icse2012.html#SongHLSLD12'],inproceedings
"['Sen Chen', 'Lingling Fan', 'Chunyang Chen', 'Ting Su', 'Wenhe Li', 'Yang Liu 0003', 'Lihua Xu']",StoryDroid: automated generation of storyboard for Android apps.,['596-607'],2019,['conf/icse/2019'],ICSE,"['https://doi.org/10.1109/ICSE.2019.00070', 'https://dl.acm.org/citation.cfm?id=3339582']",['db/conf/icse/icse2019.html#ChenFCSLLX19'],inproceedings
"['Sen Chen', 'Lingling Fan', 'Guozhu Meng', 'Ting Su', 'Minhui Xue', 'Yinxing Xue', 'Yang Liu 0003', 'Lihua Xu']",An empirical assessment of security risks of global Android banking apps.,['1310-1322'],2020,['conf/icse/2020'],ICSE,"['https://doi.org/10.1145/3377811.3380417', 'https://ieeexplore.ieee.org/document/9283969']",['db/conf/icse/icse2020.html#ChenFMSXXLX20'],inproceedings
"['Hideaki Hata', 'Osamu Mizuno', 'Tohru Kikuno']",Bug prediction based on fine-grained module histories.,['200-210'],2012,['conf/icse/2012'],ICSE,"['https://doi.org/10.1109/ICSE.2012.6227193', 'http://doi.ieeecomputersociety.org/10.1109/ICSE.2012.6227193', 'http://dl.acm.org/citation.cfm?id=2337247']",['db/conf/icse/icse2012.html#HataMK12'],inproceedings
